OFFSPRING_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,FATHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,MOTHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek
9623,gco,2008,f,388,108,bk,41,55,"c mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,2699,wtp,2004,f,397,109,bk,33,40,"c,c,c,c,c,c,c,c",C
9625,gcm,2008,f,478,102,sen,40,55,"c mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,3141,ymj,2004,f,386,107,bk,44,48,"c,c,c,c",C
9626,gcl,2008,f,407,100,bk,44,48,"c mouth,c mouth,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,2112,yea,2004,f,423,105,,35,45,"a,c mouth,c mouth,c,c mouth",tie
9627,gck,2008,f,423,106,sen,42,56,"c mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2707,wva,2004,m,417,125,,34,41,"c,c,c,c,c,c,c",C,,2121,yem,2004,f,427,109,sen,33,48,"c,c,c,c,c,c,c mouth,c,c,c,c mouth",C
9629,gch,2008,f,395,102,bk,40,48,"c mouth,c mouth,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,2423,beb,2004,f,423,104,,36,50,"c,c,c,c,c,c,c",C
9631,gcd,2008,f,408,103,bk,47,62,"c mouth,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9633,gcb,2008,m,403,107,bk,39,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,3150,ymw,2004,m,400,113,,44,47,"c,c,c",C,,3163,ynl,2004,f,391,99,bk,44,48,"c,c,c,c",C
9634,gca,2008,m,408,120,,46,54,"c mouth,c mouth,c mouth,c,c,c,c,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9636,gey,2008,f,425,107,bk,45,48,"c mouth,c mouth,c,c,c",C,,3164,ynm,2004,m,431,122,bk,44,48,"c,c,c,c",C,,3158,yne,2004,f,401,101,,44,47,"c,c,c",C
9637,gex,2008,f,413,101,bk,42,49,"c mouth,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,2712,wvg,2004,f,445,114,bk,33,55,"c,c,c,c,c,c,c,c,c,c",C
